Name,Address,City,State,Post code,GPS Latitude,GPS Longitude,telephone,Open 24 hours,mon,tue,wed,thu,fri,sat,sun
BP CHINDERAH (OZONE ST),68-89 OZONE STREET,CHINDERAH,NSW,2487,-28.243891,153.557047,+61 2 6674 1093,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP AA EASTLINK OUTBOUND,1501 CNR FERNTREE GULLY & WELLINGTON RD,SCORESBY,VIC,3179,-37.9133,145.2167,+61 3 9753 3105,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP BLACKALL,8-10 SHAMROCK STREET,BLACKALL,QLD,4472,-24.427703,145.475377,+61 7 4657 4422,FALSE,05:00-21:00,05:00-21:00,05:00-21:00,05:00-21:00,05:00-21:00,05:00-21:00,05:00-21:00
BP SANDFIRE ROADHOUSE,NORTH WEST COASTAL HIGHWAY,EIGHTY MILE BEACH,WA,6725,-19.7686,121.0913,+61 8 9176 5944,FALSE,,,,,,,
BP NEMINGHA,464-468 ARMIDALE ROAD,NEMINGHA,NSW,2340,-31.1237,150.9836,+61 2 6760 9506,FALSE,05:00-22:00,05:00-22:00,05:00-22:00,05:00-22:00,05:00-22:00,06:00-22:00,06:00-22:00
BP CABOOLTURE (SOUTHBOUND),SOUTH BOUND BRUCE HIGHWAY,CABOOLTURE,QLD,4510,-27.12327,152.97817,+61 7 5433 0452,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP ARATULA TRUCKSTOP,6883 CUNNINGHAM HIGHWAY,ARATULA,QLD,4309,-27.9912,152.5389,+61 7 5463 8571,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP CAMPERDOWN (VIC),319 MANIFOLD STREET,CAMPERDOWN,VIC,3260,-38.2271,143.1376,+61 3 5593 1716,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP STAPYLTON,CNR PACIFIC HWY & STAPYLTON-JACO,STAPYLTON,QLD,4207,-27.733015,153.227949,+61 7 3807 0750,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
BP TEMORA ROADHOUSE,193-197 VICTORIA STREET,TEMORA,NSW,2666,-34.4489,147.5352,,FALSE,05:00-22:00,05:00-22:00,05:00-22:00,05:00-22:00,05:00-22:00,05:00-22:00,05:00-22:00
BP OPT DENILIQUIN,CNR HARDING AND SLOANE STREETS,DENILIQUIN,NSW,2710,-35.53245,144.95204,+61 3 5881 2411,TRUE,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59
,,,,,,,,,,,,,,,
SHELL COOBER PEDY ROADHOUSE,454 Hutchison St Coober Pedy SA 5723,,,,,,0886725350,,,,,,,,
,,,,,,,,,,,,,,,
SHELL OTR PORT AUGUSTA,10 Augusta Hwy Port Augusta SA 5700,,,,,,0882005720,,,,,,,,
,,,,,,,,,,,,,,,
SHELL DESERT OAKS MOTEL ERLDUNDA,19668 Stuart Hwy (Cnr Lasseter Hwy) Ghan NT 0872,,,,,,0889560984,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SHELL BORDER VILLAGE,Eyre Highway Nullarbor SA 5690,,,,,,0890393474,,,,,,,,
,,,,,,,,,,,,,,,
SHELL REDDY EXPRESS TAILEM BEND,69-71 Princes Hwy Tailem Bend SA 5260,,,,,,0875478951,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SHELL REDDY EXPRESS ALICE SPRINGS,Dalgety Rd & Lilbili St Alice Springs NT 0870,,,,,,0889291946,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SHELL BURONGA,141 Sturt Hghway Buronga NSW 2739,,,,,,0350221766,,,,,,,,
,,,,,,,,,,,,,,,
SHELL WERRIGAR ROADHOUSE,213 Henty Hwy (Cnr Buronga Hwy) Warracknabeal VIC 3393,,,,,,0353982144,,,,,,,,
,,,,,,,,,,,,,,,
SHELL HAY SOUTH,Sturt Hwy Hay NSW 2711,,,,,,0269931544,,,,,,,,
,,,,,,,,,,,,,,,
SHELL HEYWOOD,2058 Henty Highway Heywood VIC 3304,,,,,,0355271371,,,,,,,,
,,,,,,,,,,,,,,,
SHELL PORTLAND,615 Henty Hwy Portland VIC 3305,,,,,,0355217227,,,,,,,,
,,,,,,,,,,,,,,,
SHELL REDDY EXPRESS MOUNT ISA TRUCKPORT,221-239 Barkly Hwy Mount Isa QLD 4825,,,,,,0744134847,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SHELL FINLEY,Cnr Newell Hwy & Murray Hut Drive Finley NSW 2713,,,,,,0358833585,,,,,,,,
,,,,,,,,,,,,,,,
SHELL SEBASTOPOL,112-118 Hertford St. Sebastopol VIC 3356,,,,,,0353127178,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SHELL THREEWAYS ROADHOUSE,Cnr Stuart & Barkly Hwys Tennant Creek NT 0860,,,,,,0889644539,,,,,,,,
SHELL REDDY EXPRESS WYALONG,Mid Western Hwy & Nicholson Lane Wyalong NSW 2671,,,,,,0259258805,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SHELL REDDY EXPRESS EUROA,167 Tarcombe St Euroa VIC 3666,,,,,,0347000808,,,,,,,,
,,,,,,,,,,,,,,,
SHELL REDDY EXPRESS BUNKER HILL,1175 Hume Freeway Mickleham VIC 3064,,,,,,0383240494,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SHELL REDDY EXPRESS ALBURY NORTh,575 Wagga Rd Lavington NSW 2641,,,,,,0260610971,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SHELL REDDY EXPRESS GILGANDRA,Portion 101 Newell Highway (Cnr Tooraweenah Road) Gilgandra NSW 2827,,,,,,0279049342,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SHELL RICHMOND (MIDWAY),120 Goldring St Richmond QLD 4822,,,,,,0735563981,,,,,,,,
,,,,,,,,,,,,,,,
SHELL REDDY EXPRESS GUNDAGAI TUCKERBOX,9321 Hume Highway (Cnr Annie Pyers Dve) Gundagai NSW 2722,,,,,,0281124919,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SHELL REDDY EXPRESS GUNDAGAI,99-115 Mount St (Cnr Middle St) Gundagai South NSW 2722,,,,,,0259240818,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SHELL DUNEDOO,21 Caigan St Dunedoo NSW 2844,,,,,,0428687408,,,,,,,,
,,,,,,,,,,,,,,,
SHELL INJUNE,1 Hutton Street Injune QLD 4454,,,,,,0746261369,,,,,,,,
,,,,,,,,,,,,,,,
SHELL NARRABRI TRUCKSTOP,11553 Newell Hwy Narrabri NSW 2390,,,,,,0267991200,,,,,,,,
,,,,,,,,,,,,,,,
SHELL GUNNEDAH TRUCKSTOP,1 Kamilaroi Highway Gunnedah NSW 2380,,,,,,0291919811,,,,,,,,
,,,,,,,,,,,,,,,
SHELL REDDY EXPRESS GOULBURN BIG MERINO,1-3 Sowerby St Goulburn NSW 2580,,,,,,0248269674,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SHELL MOONIE CROSSROADS,1 Moonie Highway Moonie QLD 4406,,,,,,0746650200,,,,,,,,
,,,,,,,,,,,,,,,
SHELL REDDY EXPRESS SUTTON FOREST WEST,13124 Hume Highway Sutton Forest NSW 2577,,,,,,0238160971,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SHELL REDDY EXPRESS SUTTON FOREST EAST,13125 Hume Highway (Cnr Sally Corner Rd) Sutton Forest NSW 2577,,,,,,0238160970,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"SHELL REDDY EXPRESS 
BLACKWATER","18 Railway Street (Cnr Columba St) Blackwater QLD 4717 
0748430852                                                                                          ",,,,,,,,,,,,,,
SHELL REDDY EXPRESS LIVERPOOL,338-340 Hume Highway Liverpool NSW 2170,,,,,,0281070910,,,,,,,,
,,,,,,,,,,,,,,,
SHELL REDDY EXPRESS HALLS CREEK,165 Great Northern Highway Halls Creek WA 6770,,,,,,0891423800,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SHELL REDDY EXPRESS LANSVALE,65-99 Hume Highway Lansvale NSW 2166,,,,,,0281124902,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SHELL COOLMUNDA TRUCKSTOP,23129 Cunningham Hwy Coolmunda QLD 4387,,,,,,0745892100,,,,,,,,
,,,,,,,,,,,,,,,
SHELL SOUTHERN CROSS,22 Great Eastern Hwy Southern Cross WA 6426,,,,,,0890491168,,,,,,,,
,,,,,,,,,,,,,,,
SHELL FREEMANS WATERHOLE,890 Freemans Drive Freemans Waterhole NSW 2323,,,,,,0249781123,,,,,,,,
,,,,,,,,,,,,,,,
SHELL ROADHOUSE GORE,3 Cunningham Highway Gore QLD 4352,,,,,,0746774236,,,,,,,,
,,,,,,,,,,,,,,,
SHELL REDDY EXPRESS HEXHAM,21 Maitland Road Hexham NSW 2322,,,,,,0240709146,,,,,,,,
,,,,,,,,,,,,,,,
SHELL REDDY EXPRESS BULAHDELAH,42 Bulahdelah Way Bulahdelah NSW 2423,,,,,,0240709142,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SHELL REDDY EXPRESS FITZROY CROSSING ROADHOUSE,87 Great Northern Hwy Fitzroy Crossing WA 6765,,,,,,0891494800,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SHELL REDDY EXPRESS GARBUTT346 Ingham Road Garbutt QLD 4814,,,,,,,0744594641,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SHELL REDDY EXPRESS KEMPSEY165 Smith St Kempsey NSW 2440,,,,,,,0255875900,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SHELL ARATULA TRUCKSTOP,,6776 Cunningham Hwy Aratula QLD 4309,,,,,0735563973,,,,,,,,
SHELL RUSTYS,,4114 Warrego Hwy Hatton Vale QLD 4341,,,,,0754657292,,,,,,,,
,,,,,,,,,,,,,,,
SHELL GOOMERI TRUCKSTOP,,53 Moore St Goomeri QLD 4601,,,,,0741684263,,,,,,,,
,,,,,,,,,,,,,,,
SHELL REDDY EXPRESS MACKAY BROADSOUND RD,,1-3 Broadsound Rd Padget QLD 4740,,,,,0240870918,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ALLIGATOR CREEK,1 ALLENDALE DRIVE,,,QLD,,,,,,,,,,,
"APPLE TREE  
CREEK",BRUCE HIGHWAY,,,QLD,,,,,,,,,,,
"BENARABY  
TRAVEL CENTRE",48813 BRUCE HIGHWAY,,,QLD,,,,,,,,,,,
BLACKSOIL,1382 WARREGO HIGHWAY,,,QLD,,,,,,,,,,,
BOWEN,18580 BRUCE HIGHWAY,,,QLD,,,,,,,,,,,
CABOOLTURE,2-8 BEACHMERE ROAD,,,QLD,,,,,,,,,,,
CHARLTON,"CNR WARREGO HWY &  
STEGER ROAD",,,QLD,,,,,,,,,,,
"CHARTERS  
TOWERS",262 GILL STREET,,,QLD,,,,,,,,,,,
CLERMONT,85 TURRAMA ROAD,,,QLD,,,,,,,,,,,
DALBY,18204 WARREGO HIGHWAY,,,QLD,,,,,,,,,,,
EMERALD,"CAPRICORN HIGHWAY &  
CODENWARRA ROAD",,,QLD,,,,,,,,,,,
GARBUTT,26 PILKINGTON STREET,,,QLD,,,,,,,,,,,
GOONDIWINDI,BOUNDARY ROAD,,,QLD,,,,,,,,,,,
GRACEMERE,"SOMERSET ROAD &  
MACQUARIE STREET",,,QLD,,,,,,,,,,,
"MARYBOROUGH  
NORTH","BRUCE HIGHWAY & QUARRY  
ROAD",,,QLD,,,,,,,,,,,
MILES,"MURILLA STREET & TULLY  
STREET",,,QLD,,,,,,,,,,,
REEDY CREEK,"PACIFIC HIGHWAY  
SOUTHBOUND",,,QLD,,,,,,,,,,,
"ROCKHAMPTON  
NORTH (A)",524-528 YAAMBA ROAD,,,QLD,,,,,,,,,,,
ROMA (B),153-157 RAGLAN STREET,,,QLD,,,,,,,,,,,
"WARWICK TRUCK  
& TRAVEL","NEW ENGLAND HIGHWAY &  
CLEARY STREET",,,QLD,,,,,,,,,,,
LABRADOR,244-252 BRISBANE ROAD,,,QLD,,,,,,,,,,,
LYTTON,"2 KITE STREET  
PORT OF BRISBANE",,,QLD,,,,,,,,,,,
RIPLEY,332 RIPLEY ROAD,,,QLD,,,,,,,,,,,
RIVERVIEW,209 WESTPHALEN DRIVE,,,QLD,,,,,,,,,,,
CHINDERAH,"CNR TWEED VALLEY WAY &  
PACIFIC HIGHWAY",,,NSW,,,,,,,,,,,
COBAR,99 BARRIER HIGHWAY,,,NSW,,,,,,,,,,,
COOLONGOLOOK,"MIDGE STREET & PACIFIC  
HIGHWAY",,,NSW,,,,,,,,,,,
GILGANDRA,6425 NEWELL HIGHWAY,,,NSW,,,,,,,,,,,
GUMLY GUMLY,3685 STURT HIGHWAY,,,NSW,,,,,,,,,,,
HALFWAY CREEK,"50 KUNGALA ROAD CNR  
PACIFIC HIGHWAY",,,NSW,,,,,,,,,,,
HOLBROOK,51 ALBURY STREET,,,NSW,,,,,,,,,,,
INVERELL,143-149 WARIALDA ROAD,,,NSW,,,,,,,,,,,
MACKSVILLE,"22 COOPER STREET (OFF  
PACIFIC HIGHWAY)",,,NSW,,,,,,,,,,,
"MCDOUGALLS  
HILL","4949 NEW ENGLAND  
HIGHWAY",,,NSW,,,,,,,,,,,
"PHEASANTS NEST  
(A)",LOTS 1 & 2 HUME HIGHWAY,,,NSW,,,,,,,,,,,
"PHEASANTS NEST  
(B)",LOT 12 HUME HIGHWAY,,,NSW,,,,,,,,,,,
TAREE SOUTH,"MANNING RIVER DRIVE &  
GLENTHORN ROAD",,,NSW,,,,,,,,,,,
"WEST WYALONG  
(A)","EMU STREET & MID  
WESTERN HIGHWAY",,,NSW,,,,,,,,,,,
"WYONG  
NORTHBOUND",F3 NORTHBOUND FREEWAY,,,NSW,,,,,,,,,,,
"WYONG  
SOUTHBOUND",F3 SOUTHBOUND FREEWAY,,,NSW,,,,,,,,,,,
YASS,1715 YASS VALLEY WAY,,,NSW,,,,,,,,,,,
YETHOLME,"3529 GREAT WESTERN  
HIGHWAY",,,NSW,,,,,,,,,,,
"ARARAT WESTERN  
HWY",8475 WESTERN HIGHWAY,,,VIC,,,,,,,,,,,
AVENEL,"JONES STREET & ASH  
STREET",,,VIC,,,,,,,,,,,
HORSHAM,"88 STAWELL ROAD CNR  
WESTER HIGHWAY",,,VIC,,,,,,,,,,,
KALKALLO,1340 HUME HIGHWAY,,,VIC,,,,,,,,,,,
RAVENSWOOD,"4633-4673 CALDER  
HIGHWAY",,,VIC,,,,,,,,,,,
WAHRING,"GOULBURN VALLEY  
HIGHWAY & MOSS ROAD",,,VIC,,,,,,,,,,,
BUNGAMA,"AUGUSTA HWY (CNR LOCKS  
RD)",,,SA,,,,,,,,,,,
PENONG,EYRE HIGHWAY,,,SA,,,,,,,,,,,
WINGFIELD,664-668 SOUTH ROAD,,,SA,,,,,,,,,,,
"YAMBA  
ROADHOUSE",LOT 347 STURT HIGHWAY,,,SA,,,,,,,,,,,
COOLGARDIE,110-114 BAYLEY STREET,,,WA,,,,,,,,,,,
CUE ROADHOUSE,"CNR LOT 245 AUSTIN &  
MARSHALL STREET",,,,,,,,,,,,,,
KALGOORIE (B),"HANNAN STREET &  
OCHILTREE STREET",,,,,,,,,,,,,,
MECKERING,"LOT 57 GREAT EASTERN  
HIGHWAY",,,,,,,,,,,,,,
NEWMAN,"LOT 61 PARDOO STREET &  
WELSH DRIVE",,,,,,,,,,,,,,
"OVERLANDER  
ROADHOUSE","LOT 174 NORTH WEST  
HIGHWAY",,,,,,,,,,,,,,
"PORT HEDLAND  
TRUCKSTOP","LOT 945 GREAT NORTHERN  
HIGHWAY",,,,,,,,,,,,,,
SWAGMAN,LOT 599 HEPBURN STREET,,,,,,,,,,,,,,
WILLARE BRIDGE,"LOT 64 GREAT NORTHERN  
HIGHWAY",,,,,,,,,,,,,,
WILLIAMS,LOT 16-17 ALBANY HIGHWAY,,,,,,,,,,,,,,
BYFORD,"SOUTH WEST HIGHWAY &  
NETTLEFORD ROAD",,,,,,,,,,,,,,
"NORTH  
DANDALUP","4267 CNR SOUTH WEST  
HIGHWAY & DEL PARK  
ROAD",,,,,,,,,,,,,,
"ROUS HEAD 
(TRUCK CANOPY)","LOT R113 NORTH MOLE  
DRIVE",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Aratula,,,,,,,,,,,,,,,
"6712 Cunningham Highway, Aratula, QLD 4309",,,,,,,,,,,,,,,
Operating Hours - Daily 24 Hours,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Ban Ban Springs,,,,,,,,,,,,,,,
"13384 Burnett Highway, Ban Ban Springs, QLD 4625",,,,,,,,,,,,,,,
Operating Hours - Daily 5am-10pm,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Cloncurry Roadhouse,,,,,,,,,,,,,,,
"5 - 9 Ramsay Street, Cloncurry, QLD 4824",,,,,,,,,,,,,,,
Operating Hours - Daily 5am - 9pm,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Cohuna,,,,,,,,,,,,,,,
"6323 Murray Valley Highway, Cohuna, VIC 3568",,,,,,,,,,,,,,,
"Operating Hours - Mon-Fri 6am - 9pm, Sat-Sun 7am - 8pm",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Curra,,,,,,,,,,,,,,,
"2 David Drive, Curra, QLD 4570",,,,,,,,,,,,,,,
Operating Hours - Daily 4am - 10pm,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Dingo,,,,,,,,,,,,,,,
"Lot 1 Capricorn Hwy, Dingo, QLD 4702",,,,,,,,,,,,,,,
Operating Hours - Daily 24 Hours,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Farleigh,,,,,,,,,,,,,,,
"1284 Bruce Highway, Farleigh, QLD 4741",,,,,,,,,,,,,,,
Operating Hours - Daily 24 Hours,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Forbes Diesel Stop,,,,,,,,,,,,,,,
"Cnr Parkes Road and Wyndham Avenue, Forbes, NSW 2871",,,,,,,,,,,,,,,
Operating Hours - Daily 24 Hours,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Gin Gin,,,,,,,,,,,,,,,
"2 Mulgrave Street, Gin Gin, QLD 4671",,,,,,,,,,,,,,,
Operating Hours - Daily 24 Hours,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Glenfield,,,,,,,,,,,,,,,
"1455 North West Coastal Hwy, Glenfield, WA 6532",,,,,,,,,,,,,,,
Operating Hours - Daily 24 Hours,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Julia Creek Roadhouse,,,,,,,,,,,,,,,
"83-85 Burke Street, Julia Creek, QLD 4823",,,,,,,,,,,,,,,
Operating Hours - Daily 6am - 9pm,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Maddington Kelvin Road,,,,,,,,,,,,,,,
"11/137 Kelvin Road, Maddington, WA 6109",,,,,,,,,,,,,,,
Operating Hours - Mon-Fri: 6am - 8pm. Sat & Sun: 6am - 6pm,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Marlborough North,,,,,,,,,,,,,,,
"13 Perkins Road, Marlborough, QLD 4705",,,,,,,,,,,,,,,
Operating Hours - Daily 4:30am - 9pm,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Marlborough South,,,,,,,,,,,,,,,
"71209 Bruce Highway, Marlborough, QLD 4670",,,,,,,,,,,,,,,
Operating Hours - Daily 24 Hours,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Moranbah,,,,,,,,,,,,,,,
"1129 Moranbah Access Rd, Moranbah, QLD 4744",,,,,,,,,,,,,,,
Operating Hours - Daily 24 hours,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Moree,,,,,,,,,,,,,,,
"3 Blueberry Road, Moree, NSW 2400",,,,,,,,,,,,,,,
Operating Hours - Daily 24 Hours,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Mosman Park,,,,,,,,,,,,,,,
"71-93 Thompson St, Charters Towers, QLD 4820",,,,,,,,,,,,,,,
Operating Hours - Daily 24 Hours,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Nanango,,,,,,,,,,,,,,,
"Gretna Lane , Nanango, QLD 4300",,,,,,,,,,,,,,,
Operating Hours - Daily 5:00am - 9:00pm,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Oakey,,,,,,,,,,,,,,,
"245 Bridge Street, Oakey, QLD 4401",,,,,,,,,,,,,,,
Operating Hours - Daily 4.30am - 8pm,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Park Avenue,,,,,,,,,,,,,,,
"351 Yaamba Rd, Rockhampton, QLD 4701",,,,,,,,,,,,,,,
Operating Hours - Daily 24 hours,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Port Augusta,,,,,,,,,,,,,,,
"Lot 8, National Highway 1, Port Augusta, SA 5700",,,,,,,,,,,,,,,
Operating Hours - Daily 24 Hours,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Portsmith,,,,,,,,,,,,,,,
"104 Cook Street, Portsmith, QLD 4870",,,,,,,,,,,,,,,
"Operating Hours - Mon-Fri 4am - 7pm, Sat-Sun 5am-7pm",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Rainbow Beach,,,,,,,,,,,,,,,
"66 Rainbow Beach Rd, Rainbow Beach, QLD 4581",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Strathmerton,,,,,,,,,,,,,,,
"4927 Murray Valley Highway, Strathmerton, VIC 3641",,,,,,,,,,,,,,,
"Operating Hours - Mon-Fri 6am to 9pm, Sat-Sun 7am to 8pm",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Tammin,,,,,,,,,,,,,,,
"15323 Great Eastern Hwy, Tammin, WA 6409",,,,,,,,,,,,,,,
Operating Hours - Daily 6am - 9pm,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Traveston,,,,,,,,,,,,,,,
"2028 Old Bruce Highway, Coles Creek, QLD 4570",,,,,,,,,,,,,,,
Operating Hours - Daily 24 Hours,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Upper Swan,,,,,,,,,,,,,,,
"1383 Great Northern Highway, Upper Swan, WA 6069",,,,,,,,,,,,,,,
Operating Hours - Daily 24 Hours,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Warwick,,,,,,,,,,,,,,,
"13168 Cunningham Highway, Womina, QLD 4370",,,,,,,,,,,,,,,
"Operating Hours - Mon-Fri 4am - 10pm, Sat-Sun 6am - 6pm",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Caltex Willowbank,,,,,,,,,,,,,,,
"2708 Cunningham Highway, Willowbank, QLD 4306",,,,,,,,,,,,,,,
"Operating Hours - Mon-Sat 4am - 9pm, Sun 5am - 8pm",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Choice Cardwell,,,,,,,,,,,,,,,
"127 Victoria Street, Cardwell, QLD 4849",,,,,,,,,,,,,,,
Operating Hours - Daily 24 Hours,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
